ZipCode,YEAR,RegionID,City,Metro,CountyName,HOME_PRICE,NEXT_YEAR_PRICE,PRICE_CHANGE,PCT_PRICE_CHANGE (%)
90001,2012,95982,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,173120.1509503537,213862.13708198,40741.9861316263,23.53393634881362
90001,2013,95982,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,213862.13708198,250721.45355004616,36859.31646806616,17.235082829990066
90001,2014,95982,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,250721.45355004616,255205.8372494497,4484.383699403523,1.788591935754872
90001,2015,95982,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,255205.8372494497,280380.21624369314,25174.378994243452,9.864342941982507
90001,2016,95982,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,280380.21624369314,331520.07333340286,51139.85708970972,18.239467026183256
90001,2017,95982,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,331520.07333340286,415648.7295193099,84128.65618590702,25.376640195569873
90001,2018,95982,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,415648.7295193099,435407.224629271,19758.495109961135,4.753652232453946
90002,2012,95983,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,161938.85816921215,203774.72868767707,41835.870518464915,25.834361802619377
90002,2013,95983,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,203774.72868767707,238617.78132520235,34843.05263752528,17.098809485315908
90002,2014,95983,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,238617.78132520235,252332.17321508113,13714.391889878782,5.7474308132921585
90002,2015,95983,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,252332.17321508113,273643.75470731774,21311.58149223661,8.44584391308325
90002,2016,95983,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,273643.75470731774,326781.03038014873,53137.27567283099,19.418413451337578
90002,2017,95983,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,326781.03038014873,403631.5047262092,76850.47434606048,23.517422127183853
90002,2018,95983,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,403631.5047262092,424454.49489466473,20822.990168455523,5.1589110177561945
90003,2012,95984,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,169257.5313505044,217604.94396686813,48347.41261636373,28.56440846714479
90003,2013,95984,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,217604.94396686813,256233.69341831803,38628.7494514499,17.75177932415515
90003,2014,95984,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,256233.69341831803,259698.1569157742,3464.463497456163,1.3520717947893774
90003,2015,95984,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,259698.1569157742,285977.52000219165,26279.363086417463,10.11919506804218
90003,2016,95984,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,285977.52000219165,340504.6710670381,54527.15106484643,19.066936122961188
90003,2017,95984,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,340504.6710670381,427541.8520764816,87037.18100944354,25.56122967027015
90003,2018,95984,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,427541.8520764816,446547.0558971532,19005.203820671595,4.4452265265651265
90004,2012,95985,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,837481.6380783402,966003.026774402,128521.3886960618,15.346173916238099
90004,2013,95985,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,966003.026774402,1107939.8413352987,141936.81456089672,14.693205986614814
90004,2014,95985,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1107939.8413352987,1023850.1267228492,-84089.71461244952,-7.589736506912131
90004,2015,95985,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1023850.1267228492,1056686.323719967,32836.19699711772,3.2071292604338666
90004,2016,95985,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1056686.323719967,1225648.6678024838,168962.34408251685,15.989829743201414
90004,2017,95985,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1225648.6678024838,1562562.904806001,336914.23700351734,27.488647102075735
90004,2018,95985,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1562562.904806001,1519474.045434664,-43088.85937133711,-2.757575982304967
90005,2012,95986,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,849754.9433443332,994127.1765063136,144372.2331619804,16.989866818989324
90005,2013,95986,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,994127.1765063136,1123930.57541198,129803.39890566643,13.057021473031028
90005,2014,95986,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1123930.57541198,1063808.7087975454,-60121.866614434635,-5.349250917246094
90005,2015,95986,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1063808.7087975454,1136027.5541657316,72218.84536818624,6.788705974198815
90005,2016,95986,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1136027.5541657316,1251782.161947586,115754.60778185446,10.189419029264792
90005,2017,95986,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1251782.161947586,1578619.8836711012,326837.7217235151,26.10979223533625
90005,2018,95986,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1578619.8836711012,1546793.963253226,-31825.920417875284,-2.0160597713911783
